Homonym,Index,S1,S2,S3
quality,44927,"The quality of mercy is not strained ""-- Shakespeare .",,"While being impulsive can be great for artists , it is not a desirable quality for engineers ."
approach,45078,Approach a new project .,,Approach a task .
stone,44989,People wanted to stone the woman who had a child out of wedlock .,,She got stoned to death after they found her .
run,45049,Run a new program on the Mac .,,Our coach had us running plays for the whole practice .
feeder,0-1,A bark feeder .,,A mud feeder .
head,44961,200 head of cattle .,,200 head of cattle and 50 head of horses .
danger,0-2,There was widespread danger of disease .,,You are in no danger .
reaction,44987,When I last tried to eat strawberries I had a terrible allergic reaction .,,You were in the courtroom . What is your reaction ?
be,45111,I shall be writing to you soon .,,There was a lot of noise in the kitchen .
take,44961,Tomorrow the doctor will take the cast off her arm .,,The test grader takes off a point for every misspelled word .
day,45021,I work at night and sleep during the day .,,The dawn turned night into day .
war,4-0,The war against crime .,,The war on poverty .
come,0-2,Come out of the closet !,,He came through the door .
support,45051,The president no longer has the support of his own party .,,They developed a scheme of mutual support .
love,45056,He has a very complicated love life .,,He had n't had any love in months .
cover,44932,Cover the grave with flowers .,,Cover her face with a handkerchief .
song,45080,The wheels sang their song as the train rocketed ahead .,,The song of bullets was in the air .
appearance,44986,"A person makes his appearance as an historian , an artist , or an orator .",,David Beckham 's first appearance with the LA Galaxy at Giants Stadium against the New York Red Bulls last night drew a crowd of 66237 .
come,44959,Come down here !,,He came through the door .
room,44927,Hardly enough elbow room to turn around .,,There was n't that much elbow room in the aircraft .
air,45207,The flock of birds took to the air .,,A smell of chemicals in the air .
plug,45171,Plug the hole .,,He attempted to plug the leaks with some caulk .
think,0-2,I think that he is her boyfriend .,,I think he is very smart .
connect,44987,Can you connect the two loudspeakers ?,,Our computers connected together .
spring,0-6,He will hold office until the spring of next year .,,"You can visit me in the spring , when the weather is bearable ."
block,6-0,Block an attack .,,He blocked the basketball player 's shot .
think,44997,Think thin .,,"Idly , the detective thought what his next move should be ."
air,44928,The flock of birds took to the air .,,Open a window and let in some air .
authority,41365,The world 's foremost authority on orangutans .,,Tennessee Valley Authority .
make,44962,Make water into wine .,,Make lead into gold .
leave,45030,Leave it as is .,,Leave the young fawn alone .
raise,13-0,We visited a farm where they raise chickens .,,Chew with your mouth shut — were you raised in a barn ?
make,45108,How much do you make a month in your new job ?,,He made twenty bucks playing poker last night .
pull,44961,Pull the trigger of the gun .,,Pull the handle towards you .
focus,45108,"If you 're going to beat your competitors , you need to focus .",,We focused on reading the book .
admit,44988,To admit evidence in the trial of a cause .,,She admitted us .
improbability,5-0,The improbability of such rare coincidences .,,Impossibility should never be confused with improbability .
acquisition,45078,The acquisition of one company by another .,,The acquisition of wealth .
gather,45112,Gather the close family members .,,Be careful not to stretch or gather your knitting .
work,45085,He never worked because he inherited a lot of money .,,My wife never worked .
foot,45208,Armored from head to foot .,,His bare feet projected from his trousers .
make,44933,One swallow does not a summer make .,,Clothes make the man .
quibble,45082,Let 's not quibble over pennies .,,They are constantly quibbling over insignificant details .
leave,4-0,At what time does your train leave ?,,The ship leaves at midnight .
make,44927,How much do you make a month in your new job ?,,You have to spend money to make money !
wave,44961,A wave of settlers .,,Troops advancing in waves .
break,44962,Break down a proof .,,Break an alibi .
ply,45085,Ply your wits !,,He plied his trade as carpenter for forty-three years .
nick,45081,He 's in the nick .,,He was arrested and taken down to Sun Hill nick police station to be charged .
end,0-2,She knotted the end of the thread .,,They rode to the end of the line .
session,0-2,A training session .,,"Are we having a recording session ? "" Yes . We 've even got some session musicians to provide some brass . "" ."
war,44928,The war on poverty .,,"The "" war on terror "" is a campaign against terrorist crime ."
culture,2-0,The reason that the agency is doomed to inaction has something to do with the FBI culture .,,The developing drug culture .
wash,44959,My jacket needs a wash .,,I 'm going to have a quick wash before coming to bed .
taproot,44986,The taproot of his resentment .,,Genius and insanity spring from the same taproot .
give,44927,What will you give her for her birthday ?,,I 'm going to give my wife a necklace for her birthday .
smoke,7-0,It was just smoke and mirrors .,,His dreams all turned to smoke .
component,45054,A component or constituent element of a system .,,Spare components for cars .
inhibit,44932,Inhibit the action of the enzyme .,,Inhibit the rate of a chemical reaction .
catch,44987,Catch one 's breath .,,I caught some Z 's on the train .
have,45020,I have two sisters .,,How many cars does she have ?
process,0-0,"This product of last month 's quality standards committee is quite good , even though the process was flawed .",,The process of calcification begins later for boys than for girls .
opening,0-0,He slipped through an opening in the crowd .,,There was a small opening between the trees .
orient,0-0,Let me just orient myself and we can be on our way .,,We had to orient ourselves in the forest .
one,44965,"Driver , noun : one who drives .",,This is the one I ordered .
start,45019,I start my day with a good breakfast .,,The blood shed started when the partisans launched a surprise attack .
machinery,44933,The complex machinery of negotiation .,,The machinery of command labored and brought forth an order .
truth,45020,The lawyer questioned the truth of my account .,,Truth to one 's own feelings is all-important in life .
avoid,44929,Her former friends now avoid her .,,He avoided going to the area .
hit,45020,The temperature could hit 110 F tomorrow .,,The thermometer hit 100 degrees .
world,44988,People are dying of starvation all over the world .,,All the world loves a lover .
understand,0-0,I understand what she means .,,I understand wanting more .
see,42095,Can you see the bird in that tree ?,,I saw him laughing .
while,44927,He was here for a little while .,,He lectured for quite a long while .
form,45020,"To apply for the position , complete the application form .",,He filled out his tax form .
work,44960,Start from the bottom and work towards the top .,,She was working on her second martini when the guests arrived .
show,44927,The dirty side will show .,,His good upbringing really shows .
serve,45111,This table would serve very well .,,He had served in financial planning positions .
bake,45020,Potatoes bake to a crisp .,,Bake the potatoes .
go,44961,How fast does your new car go ?,,The policemen went from door to door looking for the suspect .
serve,44987,This table would serve very well .,,His freedom served him well .
